,año,NumeroAccicentes
110,1908,1
108,1909,1
109,1912,1
106,1913,3
107,1915,2
104,1916,5
103,1917,7
105,1918,4
99,1919,9
91,1920,18
97,1921,12
95,1922,13
96,1923,13
102,1924,7
98,1925,11
94,1926,13
88,1927,20
75,1928,36
70,1929,39
83,1930,26
76,1931,33
79,1932,28
80,1933,28
77,1934,31
68,1935,42
59,1936,50
73,1937,36
45,1938,56
78,1939,30
84,1940,25
81,1941,27
71,1942,38
66,1943,44
47,1944,56
6,1945,75
0,1946,88
2,1947,82
3,1948,78
17,1949,67
10,1950,71
7,1951,75
22,1952,65
11,1953,70
32,1954,61
44,1955,57
53,1956,53
18,1957,66
16,1958,68
20,1959,66
12,1960,70
38,1961,59
4,1962,78
26,1963,64
36,1964,59
23,1965,64
37,1966,59
40,1967,58
21,1968,65
13,1969,69
9,1970,73
42,1971,58
5,1972,77
25,1973,64
39,1974,58
56,1975,51
43,1976,57
27,1977,63
55,1978,51
33,1979,60
65,1980,45
58,1981,50
52,1982,54
60,1983,48
61,1984,48
46,1985,56
54,1986,51
51,1987,54
24,1988,64
1,1989,83
31,1990,61
14,1991,69
19,1992,66
49,1993,56
8,1994,74
34,1995,60
15,1996,68
48,1997,56
35,1998,59
30,1999,62
28,2000,63
41,2001,58
50,2002,55
29,2003,62
63,2004,46
64,2005,45
72,2006,38
67,2007,43
57,2008,51
62,2009,46
69,2010,40
74,2011,36
82,2012,26
85,2013,25
86,2014,23
90,2015,18
87,2016,23
92,2017,15
89,2018,19
93,2019,13
100,2020,8
101,2021,7
